id,timestamp,media_type,caption,like_count,comments_count,reach,saved,views,permalink
18122030635601731,2026-03-05T18:57:46+0000,VIDEO,"Not perfect, just experiencing life🩷💅  #fyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy",157,6,4105,3,5846,https://www.instagram.com/reel/DVg3vZyDHID/
18083170766004466,2026-03-02T09:38:19+0000,VIDEO,No hate ❤️💋,195,10,5955,6,8644,https://www.instagram.com/reel/DVYJZf1DF5y/
18093383801072892,2026-02-27T21:17:52+0000,VIDEO,,899,64,38504,141,70609,https://www.instagram.com/reel/DVRrHHcDAvs/
18073536311136560,2026-02-17T07:16:23+0000,IMAGE,🧸,220,6,4478,7,,https://www.instagram.com/p/DU2a3MHDIBG/
18542783530019229,2025-11-27T16:32:31+0000,VIDEO,Girl era activated… la la la living freely ✨�😚. #instagram,297,22,5655,21,12431,https://www.instagram.com/reel/DRkRUHljF87/
18531647377035683,2025-10-28T10:02:45+0000,IMAGE,,173,6,4211,8,,https://www.instagram.com/p/DQWU4ZWjAgo/
18096172768773163,2025-10-28T09:59:16+0000,IMAGE,Me🩷,143,10,4046,2,,https://www.instagram.com/p/DQWUe5BDM7C/
17956756245006695,2025-09-29T18:09:15+0000,CAROUSEL_ALBUM,Victoria park😍😍😍,119,7,,,,https://www.instagram.com/p/DPMhgMfDIY6/
18069237886786345,2025-01-13T06:52:40+0000,IMAGE,Love love❤️☺️🔪,134,6,,,,https://www.instagram.com/p/DEwaMMBvOU_/
18030071765529061,2024-12-26T15:42:48+0000,CAROUSEL_ALBUM,,188,12,,,,https://www.instagram.com/p/DEDAjJ1zNd1/
